code,ticker,earnings_date,period_type,sales,operating_profit,net_profit,eps,dps,reported_eps,eps_estimate,surprise_pct,source,sales_yoy,operating_profit_yoy,net_profit_yoy,eps_yoy
2315,2315.T,2007-08-14 03:00:00,quarterly,,,,47.29,,47.29,18.17,160.26,yfinance,,,,
2220,2220.T,2007-11-08 02:00:00,quarterly,,,,-1.27,,-1.27,1.7,-174.66,yfinance,,,,
2440,2440.T,2007-11-09 03:00:00,quarterly,,,,7.13,,7.13,5.15,38.33,yfinance,,,,
2315,2315.T,2007-11-14 03:00:00,quarterly,,,,58.02,,58.02,102.98,-43.66,yfinance,,,,22.68978642419117
2220,2220.T,2008-01-25 01:00:00,quarterly,,,,15.88,,15.88,16.55,-4.05,yfinance,,,,1350.3937007874017
2440,2440.T,2008-05-09 02:00:00,quarterly,,,,6.14,,6.14,3.35,83.35,yfinance,,,,-13.88499298737728
2170,2170.T,2008-05-13 23:00:00,quarterly,,,,1.31,,1.31,1.29,1.48,yfinance,,,,
2220,2220.T,2008-06-22 20:00:00,quarterly,,,,6.78,,6.78,11.31,-40.05,yfinance,,,,-57.30478589420655
2440,2440.T,2008-08-08 02:00:00,quarterly,,,,9.41,,9.41,10.18,-7.57,yfinance,,,,53.257328990228025
2593,2593.T,2008-09-03 02:00:00,quarterly,,,,8.65,,8.65,22.42,-61.42,yfinance,,,,
2440,2440.T,2008-11-07 01:00:00,quarterly,,,,9.92,,9.92,9.4,5.6,yfinance,,,,5.419766206163653
2590,2590.T,2008-11-25 01:00:00,quarterly,,,,38.94,,38.94,28.52,36.54,yfinance,,,,
2593,2593.T,2008-12-03 01:00:00,quarterly,,,,15.58,,15.58,18.76,-16.95,yfinance,,,,80.11560693641619
2664,2664.T,2009-01-23 01:00:00,quarterly,,,,34.69,,34.69,54.52,-36.37,yfinance,,,,
2440,2440.T,2009-02-05 23:00:00,quarterly,,,,12.14,,12.14,10.48,15.82,yfinance,,,,22.379032258064523
2590,2590.T,2009-02-27 01:00:00,quarterly,,,,-13.83,,-13.83,-16.75,17.43,yfinance,,,,-135.5161787365177
2593,2593.T,2009-03-03 01:00:00,quarterly,,,,3.64,,3.64,1.68,116.67,yfinance,,,,-76.6367137355584
2664,2664.T,2009-04-28 02:00:00,quarterly,,,,-42.0,,-42.0,-41.99,-0.02,yfinance,,,,-221.0723551455751
2590,2590.T,2009-05-25 02:00:00,quarterly,,,,-0.67,,-0.67,9.93,-106.75,yfinance,,,,95.15545914678236
2593,2593.T,2009-06-03 02:00:00,quarterly,,,,7.6,,7.6,3.93,93.38,yfinance,,,,108.79120879120879
2440,2440.T,2009-07-31 02:00:00,quarterly,,,,10.73,,10.73,12.4,-13.48,yfinance,,,,-11.614497528830315
2590,2590.T,2009-08-28 02:00:00,quarterly,,,,33.24,,33.24,9.93,234.69,yfinance,,,,5061.194029850746
2593,2593.T,2009-09-02 02:00:00,quarterly,,,,15.7,,15.7,9.87,59.15,yfinance,,,,106.57894736842107
2602,2602.T,2009-11-04 01:00:00,quarterly,,,,11.98,,11.98,4.33,176.54,yfinance,,,,
2590,2590.T,2009-11-24 01:00:00,quarterly,,,,43.88,,43.88,9.93,341.89,yfinance,,,,32.009626955475326
2593,2593.T,2009-12-02 01:00:00,quarterly,,,,20.67,,20.67,11.47,80.29,yfinance,,,,31.656050955414027
2440,2440.T,2010-02-04 01:00:00,quarterly,,,,13.41,,13.41,13.89,-3.45,yfinance,,,,24.9767008387698
2602,2602.T,2010-02-05 01:00:00,quarterly,,,,19.87,,19.87,18.83,5.49,yfinance,,,,65.85976627712856
2593,2593.T,2010-03-02 01:00:00,quarterly,,,,2.03,,2.03,3.3,-38.39,yfinance,,,,-90.17900338655055
2602,2602.T,2010-05-07 12:00:00,quarterly,,,,0.5,,0.5,3.5,-85.71,yfinance,,,,-97.48364368394564
2593,2593.T,2010-06-02 18:00:00,quarterly,,,,7.04,,7.04,1.41,399.29,yfinance,,,,246.79802955665028
2664,2664.T,2010-06-08 20:00:00,quarterly,,,,6.15,,6.15,22.78,-73.0,yfinance,,,,114.64285714285714
2440,2440.T,2010-07-29 20:00:00,quarterly,,,,8.95,,8.95,15.57,-42.47,yfinance,,,,-33.25876211782253
2602,2602.T,2010-08-02 20:00:00,quarterly,,,,1.88,,1.88,13.0,-85.51,yfinance,,,,276.0
2593,2593.T,2010-09-01 20:00:00,quarterly,,,,21.41,,21.41,17.75,20.62,yfinance,,,,204.11931818181822
2602,2602.T,2010-11-03 20:00:00,quarterly,,,,13.6,,13.6,10.98,23.82,yfinance,,,,623.4042553191489
2281,2281.T,2010-11-04 20:00:00,quarterly,,,,20.4,,20.4,15.72,29.77,yfinance,,,,
2001,2001.T,2010-11-04 20:00:00,quarterly,,,,13.7,,13.7,23.27,-41.14,yfinance,,,,
1861,1861.T,2010-11-10 19:00:00,quarterly,,,,13.15,,13.15,-0.6,2273.55,yfinance,,,,
1762,1762.T,2010-11-10 19:00:00,quarterly,,,,30.27,,30.27,18.61,62.67,yfinance,,,,
1518,1518.T,2010-11-11 19:00:00,quarterly,,,,5.6,,5.6,13.94,-59.82,yfinance,,,,
2593,2593.T,2010-12-01 00:00:00,quarterly,,,,25.11,,25.11,23.69,6.02,yfinance,,,,17.281644091546003
1946,1946.T,2011-01-26 19:00:00,quarterly,,,,2.95,,2.95,0.96,206.97,yfinance,,,,
1950,1950.T,2011-01-30 19:00:00,quarterly,,,,24.05,,24.05,13.99,71.93,yfinance,,,,
1939,1939.T,2011-01-30 19:00:00,quarterly,,,,7.94,,7.94,8.35,-4.87,yfinance,,,,
2594,2594.T,2011-01-30 19:00:00,quarterly,,,,15.6,,15.6,12.02,29.82,yfinance,,,,
1941,1941.T,2011-01-30 19:00:00,quarterly,,,,-0.11,,-0.11,7.05,-101.56,yfinance,,,,
2001,2001.T,2011-02-03 19:00:00,quarterly,,,,29.7,,29.7,24.74,20.03,yfinance,,,,116.78832116788323
2440,2440.T,2011-02-03 19:00:00,quarterly,,,,9.32,,9.32,15.63,-40.37,yfinance,,,,4.134078212290515
2281,2281.T,2011-02-03 19:00:00,quarterly,,,,58.4,,58.4,21.57,170.75,yfinance,,,,186.27450980392157
1515,1515.T,2011-02-03 19:00:00,quarterly,,,,7.04,,7.04,6.32,11.39,yfinance,,,,
2602,2602.T,2011-02-03 19:00:00,quarterly,,,,24.95,,24.95,21.67,15.15,yfinance,,,,83.45588235294117
1982,1982.T,2011-02-06 19:00:00,quarterly,,,,5.59,,5.59,6.37,-12.18,yfinance,,,,
1980,1980.T,2011-02-08 19:00:00,quarterly,,,,0.96,,0.96,0.48,102.38,yfinance,,,,
1720,1720.T,2011-02-08 19:00:00,quarterly,,,,22.05,,22.05,17.64,25.04,yfinance,,,,
1882,1882.T,2011-02-09 19:00:00,quarterly,,,,11.82,,11.82,12.08,-2.18,yfinance,,,,
1861,1861.T,2011-02-09 19:00:00,quarterly,,,,11.68,,11.68,10.64,9.7,yfinance,,,,-11.178707224334605
1963,1963.T,2011-02-09 19:00:00,quarterly,,,,2.66,,2.66,69.46,-96.17,yfinance,,,,
1815,1815.T,2011-02-09 19:00:00,quarterly,,,,8.6,,8.6,40.11,-78.56,yfinance,,,,
1518,1518.T,2011-02-09 19:00:00,quarterly,,,,14.74,,14.74,14.04,4.99,yfinance,,,,163.21428571428572
1822,1822.T,2011-02-09 19:00:00,quarterly,,,,5.46,,5.46,14.83,-63.19,yfinance,,,,
2108,2108.T,2011-02-13 19:00:00,quarterly,,,,1.3,,1.3,21.52,-93.96,yfinance,,,,
1762,1762.T,2011-02-13 19:00:00,quarterly,,,,47.41,,47.41,18.45,156.92,yfinance,,,,56.62371985464155
2593,2593.T,2011-03-01 19:00:00,quarterly,,,,9.68,,9.68,3.32,191.57,yfinance,,,,-61.449621664675426
1939,1939.T,2011-04-27 20:00:00,quarterly,,,,14.18,,14.18,14.29,-0.82,yfinance,,,,78.58942065491182
1950,1950.T,2011-04-27 20:00:00,quarterly,,,,75.48,,75.48,86.73,-12.97,yfinance,,,,213.8461538461539
1941,1941.T,2011-04-27 20:00:00,quarterly,,,,27.17,,27.17,31.64,-14.12,yfinance,,,,24800.0
1946,1946.T,2011-04-27 20:00:00,quarterly,,,,17.07,,17.07,22.62,-24.54,yfinance,,,,478.64406779661016
1515,1515.T,2011-05-09 20:00:00,quarterly,,,,2.61,,2.61,3.8,-31.28,yfinance,,,,-62.92613636363637
1720,1720.T,2011-05-10 20:00:00,quarterly,,,,-24.77,,-24.77,20.56,-220.5,yfinance,,,,-212.33560090702946
1518,1518.T,2011-05-11 20:00:00,quarterly,,,,27.0,,27.0,19.31,39.81,yfinance,,,,83.17503392130257
1762,1762.T,2011-05-11 20:00:00,quarterly,,,,12.16,,12.16,16.38,-25.74,yfinance,,,,-74.35140265766717
1833,1833.T,2011-05-11 20:00:00,quarterly,,,,30.35,,30.35,-2.29,1426.92,yfinance,,,,
2540,2540.T,2011-05-11 20:00:00,quarterly,,,,11.52,,11.52,-2.96,489.19,yfinance,,,,
1980,1980.T,2011-05-11 20:00:00,quarterly,,,,7.22,,7.22,63.02,-88.55,yfinance,,,,652.0833333333333
2001,2001.T,2011-05-11 20:00:00,quarterly,,,,4.68,,4.68,20.94,-77.65,yfinance,,,,-84.24242424242424
1982,1982.T,2011-05-12 20:00:00,quarterly,,,,31.08,,31.08,23.03,34.93,yfinance,,,,455.99284436493735
1882,1882.T,2011-05-12 20:00:00,quarterly,,,,24.09,,24.09,21.61,11.47,yfinance,,,,103.80710659898476
1815,1815.T,2011-05-12 20:00:00,quarterly,,,,45.8,,45.8,39.81,15.05,yfinance,,,,432.5581395348837
1822,1822.T,2011-05-12 20:00:00,quarterly,,,,7.29,,7.29,9.36,-22.12,yfinance,,,,33.51648351648352
1861,1861.T,2011-05-12 20:00:00,quarterly,,,,5.63,,5.63,13.34,-57.84,yfinance,,,,-51.79794520547946
2109,2109.T,2011-05-12 20:00:00,quarterly,,,,8.2,,8.2,12.16,-32.57,yfinance,,,,
2281,2281.T,2011-05-12 20:00:00,quarterly,,,,-18.5,,-18.5,0.38,-4968.42,yfinance,,,,-131.67808219178085
2108,2108.T,2011-05-12 20:00:00,quarterly,,,,13.2,,13.2,18.82,-29.86,yfinance,,,,915.3846153846154
2204,2204.T,2011-05-12 20:00:00,quarterly,,,,63.7,,63.7,57.89,10.04,yfinance,,,,
2207,2207.T,2011-05-12 20:00:00,quarterly,,,,16.72,,16.72,7.32,128.48,yfinance,,,,
2004,2004.T,2011-05-22 20:00:00,quarterly,,,,-68.0,,-68.0,-9.75,-597.44,yfinance,,,,
2594,2594.T,2011-05-22 20:00:00,quarterly,,,,-19.77,,-19.77,-0.88,-2144.04,yfinance,,,,-226.73076923076923
1766,1766.T,2011-06-09 20:00:00,quarterly,,,,165.2,,165.2,77.56,112.99,yfinance,,,,
2594,2594.T,2011-07-24 20:00:00,quarterly,,,,4.82,,4.82,8.5,-43.3,yfinance,,,,124.38037430450177
2540,2540.T,2011-07-26 20:00:00,quarterly,,,,21.6,,21.6,14.24,51.71,yfinance,,,,87.50000000000003
1939,1939.T,2011-07-26 20:00:00,quarterly,,,,5.5,,5.5,2.92,88.36,yfinance,,,,-61.21297602256699
1934,1934.T,2011-07-27 20:00:00,quarterly,,,,0.66,,0.66,-14.0,104.71,yfinance,,,,
1950,1950.T,2011-07-27 20:00:00,quarterly,,,,-3.34,,-3.34,-7.99,58.19,yfinance,,,,-104.42501324854267
2211,2211.T,2011-07-28 03:00:00,quarterly,,,,-3.0,,-3.0,-2.29,-31.0,yfinance,,,,
2109,2109.T,2011-07-28 20:00:00,quarterly,,,,49.7,,49.7,53.84,-7.68,yfinance,,,,506.0975609756098
2440,2440.T,2011-07-28 20:00:00,quarterly,,,,7.72,,7.72,17.61,-56.19,yfinance,,,,-17.167381974248933
