code,period,period_type,sales_m,op_profit_m,net_profit_m,eps,dps,source
1301,2022.03,annual,253575.0,6392.0,4634.0,430.8,90.0,kabutan
1301,2023.03,annual,272167.0,8105.0,5782.0,539.1,100.0,kabutan
1301,2024.03,annual,261604.0,8806.0,5936.0,548.6,100.0,kabutan
1301,2025.03,annual,302681.0,11079.0,6740.0,567.5,130.0,kabutan
1301,2026.03,annual,330000.0,11100.0,6700.0,564.1,150.0,kabutan
1332,2022.03,annual,693682.0,27076.0,17275.0,55.5,14.0,kabutan
1332,2023.03,annual,768181.0,24488.0,21233.0,68.2,18.0,kabutan
1332,2024.03,annual,831375.0,29663.0,23850.0,76.7,24.0,kabutan
1332,2025.03,annual,886126.0,31779.0,25381.0,81.7,28.0,kabutan
1332,2026.03,annual,928000.0,38000.0,27500.0,90.7,32.0,kabutan
1333,2022.03,annual,866702.0,23819.0,16898.0,107.0,18.33,kabutan
1333,2023.03,annual,1020456.0,29575.0,18596.0,121.2,21.67,kabutan
1333,2024.03,annual,1030674.0,26534.0,20853.0,137.9,28.33,kabutan
1333,2025.03,annual,1078631.0,30381.0,23264.0,154.0,36.67,kabutan
1333,2026.03,annual,1080000.0,30000.0,19500.0,129.0,40.67,kabutan
1375,2022.03,annual,47081.0,4975.0,2989.0,74.9,30.0,kabutan
1375,2023.03,annual,42204.0,2191.0,1181.0,29.6,20.0,kabutan
1375,2024.03,annual,47476.0,2798.0,1350.0,33.9,11.0,kabutan
1375,2025.03,annual,53139.0,2419.0,1502.0,37.7,15.0,kabutan
1375,2026.03,annual,51970.0,3270.0,2010.0,50.4,16.0,kabutan
1376,2022.05,annual,60691.0,1835.0,1302.0,111.8,29.0,kabutan
1376,2023.05,annual,62179.0,1785.0,1426.0,123.6,31.0,kabutan
1376,2024.05,annual,61598.0,1478.0,1177.0,103.3,33.0,kabutan
1376,2025.05,annual,64508.0,1511.0,1200.0,107.0,38.0,kabutan
1376,2026.05,annual,66500.0,1900.0,1500.0,136.8,38.0,kabutan
1377,2022.05,annual,73049.0,11181.0,12256.0,276.0,45.0,kabutan
1377,2023.05,annual,77263.0,10918.0,9489.0,214.0,55.0,kabutan
1377,2024.05,annual,88677.0,10495.0,16162.0,365.2,65.0,kabutan
1377,2025.05,annual,92920.0,12257.0,9711.0,222.6,75.0,kabutan
1377,2026.05,annual,101000.0,12500.0,10000.0,236.6,75.0,kabutan
1379,2022.03,annual,70932.0,2014.0,2530.0,80.3,60.0,kabutan
1379,2023.03,annual,72980.0,-2948.0,-2037.0,-64.4,40.0,kabutan
1379,2024.03,annual,79426.0,3180.0,3525.0,111.2,50.0,kabutan
1379,2025.03,annual,83104.0,6628.0,4441.0,140.6,50.0,kabutan
1379,2026.03,annual,84700.0,5830.0,5760.0,183.9,55.0,kabutan
1380,2022.03,annual,6638.0,115.0,159.0,38.3,10.0,kabutan
1380,2023.03,annual,7070.0,19.0,156.0,37.4,10.0,kabutan
1380,2024.03,annual,7392.0,11.0,98.0,23.6,10.0,kabutan
1380,2025.03,annual,7957.0,-3.0,28.0,6.8,10.0,kabutan
1380,2026.03,annual,8360.0,102.0,70.0,16.8,10.0,kabutan
1381,2022.06,annual,21725.0,2453.0,1943.0,346.1,95.0,kabutan
1381,2023.06,annual,24101.0,1911.0,1410.0,251.2,96.5,kabutan
1381,2024.06,annual,25836.0,1570.0,1239.0,220.7,98.5,kabutan
1381,2025.06,annual,26426.0,2121.0,1720.0,306.4,112.5,kabutan
1381,2026.06,annual,28700.0,2700.0,2000.0,356.2,112.5,kabutan
1382,2022.06,annual,2604.0,148.0,142.0,186.7,55.0,kabutan
1382,2023.06,annual,2489.0,135.0,110.0,144.9,50.0,kabutan
1382,2024.06,annual,2519.0,32.0,20.0,26.3,50.0,kabutan
1382,2025.06,annual,2412.0,38.0,24.0,32.4,50.0,kabutan
1382,2026.06,annual,2482.0,24.0,18.0,23.6,50.0,kabutan
1383,2022.10,annual,6393.0,-58.0,202.0,142.4,10.0,kabutan
1383,2023.10,annual,7061.0,76.0,78.0,50.9,10.0,kabutan
1383,2024.10,annual,7094.0,22.0,39.0,25.0,10.0,kabutan
1383,2025.10,annual,7303.0,-32.0,48.0,30.2,10.0,kabutan
1383,2026.10,annual,8000.0,110.0,54.0,33.7,10.0,kabutan
1384,2022.03,annual,15359.0,878.0,1191.0,140.8,15.0,kabutan
1384,2023.03,annual,17823.0,1318.0,745.0,88.1,20.0,kabutan
1384,2024.03,annual,18901.0,2245.0,1656.0,195.8,40.0,kabutan
1384,2025.03,annual,19397.0,1925.0,2181.0,257.9,70.0,kabutan
1384,2026.03,annual,23200.0,4850.0,3400.0,402.0,120.0,kabutan
1401,2022.05,annual,4030.0,440.0,325.0,42.4,5.0,kabutan
1401,2023.05,annual,4004.0,432.0,322.0,42.6,6.0,kabutan
1401,2024.05,annual,4356.0,495.0,403.0,54.1,8.0,kabutan
1401,2025.05,annual,4713.0,626.0,472.0,65.0,13.0,kabutan
1401,2026.05,annual,5200.0,700.0,500.0,72.1,15.0,kabutan
