# code,name,sector
1332.T,ニッスイ,水産・農林業
1605.T,INPEX,鉱業
1721.T,コムシスホールディングス,建設業
1801.T,大成建設,建設業
1802.T,大林組,建設業
1803.T,清水建設,建設業
1808.T,長谷工コーポレーション,建設業
1812.T,鹿島建設,建設業
1925.T,大和ハウス工業,建設業
1928.T,積水ハウス,建設業
2002.T,日清製粉グループ本社,食料品
2269.T,明治ホールディングス,食料品
2282.T,日本ハム,食料品
2501.T,サッポロホールディングス,食料品
2502.T,アサヒグループホールディングス,食料品
2503.T,キリンホールディングス,食料品
2801.T,キッコーマン,食料品
2802.T,味の素,食料品
2871.T,ニチレイ,食料品
2914.T,日本たばこ産業,食料品
3382.T,セブン＆アイ・ホールディングス,小売業
3401.T,帝人,繊維製品
3402.T,東レ,繊維製品
3861.T,王子ホールディングス,パルプ・紙
3863.T,日本製紙,パルプ・紙
4004.T,レゾナック・ホールディングス,化学
4021.T,日産化学,化学
4042.T,東ソー,化学
4043.T,トクヤマ,化学
4061.T,デンカ,化学
4063.T,信越化学工業,化学
4183.T,三井化学,化学
4188.T,三菱ケミカルグループ,化学
4452.T,花王,化学
4502.T,武田薬品工業,医薬品
4503.T,アステラス製薬,医薬品
4506.T,住友ファーマ,医薬品
4507.T,塩野義製薬,医薬品
4519.T,中外製薬,医薬品
4523.T,エーザイ,医薬品
4543.T,テルモ,精密機器
4568.T,第一三共,医薬品
4578.T,大塚ホールディングス,医薬品
5019.T,出光興産,石油・石炭製品
5020.T,ENEOSホールディングス,石油・石炭製品
5101.T,横浜ゴム,ゴム製品
5108.T,ブリヂストン,ゴム製品
5201.T,AGC,ガラス・土石製品
5214.T,日本電気硝子,ガラス・土石製品
5233.T,太平洋セメント,ガラス・土石製品
5301.T,東海カーボン,ガラス・土石製品
5332.T,TOTO,ガラス・土石製品
5333.T,日本碍子,ガラス・土石製品
5401.T,日本製鉄,鉄鋼
5406.T,神戸製鋼所,鉄鋼
5411.T,JFEホールディングス,鉄鋼
5631.T,日本製鋼所,機械
5703.T,日本軽金属ホールディングス,非鉄金属
5711.T,三菱マテリアル,非鉄金属
5713.T,住友金属鉱山,非鉄金属
5714.T,DOWAホールディングス,非鉄金属
5801.T,古河電気工業,非鉄金属
5802.T,住友電気工業,非鉄金属
5803.T,フジクラ,非鉄金属
6098.T,リクルートホールディングス,サービス業
6103.T,オークマ,機械
6113.T,アマダ,機械
6178.T,日本郵政,サービス業
6273.T,SMC,機械
6301.T,コマツ,機械
6302.T,住友重機械工業,機械
6305.T,日立建機,機械
6326.T,クボタ,機械
6361.T,荏原製作所,機械
6367.T,ダイキン工業,機械
6376.T,日本精工,機械
6501.T,日立製作所,電気機器
