ticker,code,earnings_date,reported_eps,eps_estimate,surprise_pct,source
1301.T,1301,2017-02-09 19:00:00,120.25,110.75,8.58,yfinance
1301.T,1301,2016-08-04 20:00:00,52.5,40.76,28.8,yfinance
1301.T,1301,2016-02-04 19:00:00,21.2,106.01,-80.0,yfinance
1301.T,1301,2015-08-02 20:00:00,30.2,56.44,-46.49,yfinance
1301.T,1301,2015-05-07 20:00:00,-35.5,69.4,-151.15,yfinance
1301.T,1301,2015-02-03 19:00:00,51.5,99.27,-48.12,yfinance
1301.T,1301,2014-11-06 19:00:00,194.4,42.5,357.41,yfinance
1301.T,1301,2014-08-04 20:00:00,21.3,58.06,-63.31,yfinance
1301.T,1301,2014-05-08 20:00:00,23.2,24.9,-6.83,yfinance
1301.T,1301,2014-02-04 19:00:00,80.4,87.81,-8.44,yfinance
1301.T,1301,2013-11-04 19:00:00,95.5,32.62,192.77,yfinance
1301.T,1301,2013-08-04 20:00:00,83.5,49.75,67.84,yfinance
1301.T,1301,2013-05-09 20:00:00,30.1,4.6,554.35,yfinance
1301.T,1301,2013-02-05 19:00:00,75.4,26.7,182.4,yfinance
1301.T,1301,2012-11-04 19:00:00,-16.6,19.09,-186.96,yfinance
1301.T,1301,2012-08-05 20:00:00,31.9,14.96,113.24,yfinance
1301.T,1301,2012-05-10 20:00:00,25.3,6.56,285.67,yfinance
1332.T,1332,2026-02-05 22:00:00,26.52,21.84,21.43,yfinance
1332.T,1332,2025-11-05 19:00:00,25.62,18.63,37.52,yfinance
1332.T,1332,2025-08-04 23:00:00,20.94,16.38,27.84,yfinance
1332.T,1332,2025-05-13 23:00:00,18.67,21.94,-14.9,yfinance
1332.T,1332,2025-02-06 22:00:00,29.21,28.79,1.46,yfinance
1332.T,1332,2024-11-05 23:00:00,16.76,20.3,-17.44,yfinance
1332.T,1332,2024-08-06 00:00:00,17.02,21.56,-21.06,yfinance
1332.T,1332,2024-05-14 00:00:00,11.45,11.28,1.51,yfinance
1332.T,1332,2024-02-05 23:00:00,27.67,9.15,202.4,yfinance
1332.T,1332,2023-05-11 20:00:00,8.49,5.82,45.88,yfinance
1332.T,1332,2023-02-02 19:00:00,21.98,23.29,-5.62,yfinance
1332.T,1332,2022-11-02 00:00:00,24.15,10.66,126.55,yfinance
1332.T,1332,2022-02-03 19:00:00,16.69,23.14,-27.87,yfinance
1332.T,1332,2021-11-05 00:00:00,19.99,9.36,113.57,yfinance
1332.T,1332,2021-08-03 20:00:00,16.67,10.93,52.52,yfinance
1332.T,1332,2021-02-04 19:00:00,26.17,14.35,82.37,yfinance
1332.T,1332,2020-11-04 19:00:00,5.93,8.55,-30.64,yfinance
1332.T,1332,2020-08-03 01:00:00,10.25,9.0,13.89,yfinance
1332.T,1332,2020-05-20 00:00:00,-0.07,7.74,-100.9,yfinance
1332.T,1332,2020-02-04 19:00:00,22.38,24.01,-6.79,yfinance
1332.T,1332,2019-11-04 19:00:00,13.53,14.62,-7.46,yfinance
1332.T,1332,2019-08-05 00:00:00,11.63,15.91,-26.9,yfinance
1332.T,1332,2019-05-14 00:00:00,0.35,8.77,-96.01,yfinance
1332.T,1332,2019-02-04 19:00:00,26.84,26.6,0.9,yfinance
1377.T,1377,2020-10-08 20:00:00,69.38,53.99,28.51,yfinance
1377.T,1377,2020-04-02 20:00:00,37.12,44.44,-16.47,yfinance
1377.T,1377,2020-01-08 19:00:00,15.47,19.34,-20.01,yfinance
1377.T,1377,2019-10-03 20:00:00,53.99,53.33,1.24,yfinance
1377.T,1377,2019-07-09 20:00:00,37.33,22.21,68.08,yfinance
